user_id,risk_score,classified_type,inbound_trx,outbound_trx,betweenness_centrality,syndicate_score
202100000007396257,0.0,fraud_type1,0,5,0.0,0.451858651367245
201000000004480717,0.0,fraud_type1,2,0,0.0,0.451858651367245
202000000088926836,0.0,fraud_type1,0,14,0.0,0.451858651367245
202000000026970356,0.0,fraud_type1,0,0,,
202000000093465509,0.4660263026319229,nonfraud_type3,0,1,0.0,0.451858651367245
202000000069518119,0.5104349406908743,fraud_type4,0,0,,
202000000025262528,0.0,fraud_type1,0,0,,
202000000126028034,0.0,fraud_type1,1,2,0.004018754186202277,0.5275049970784637
202100000008367665,0.0,fraud_type1,0,2,0.0,0.451858651367245
202000000125966474,0.0,fraud_type1,0,1,0.0,0.451858651367245
202000000126235793,0.0,fraud_type1,0,0,,
202000000039498826,0.0,fraud_type1,0,0,,
202000000129042217,0.0,fraud_type1,0,4,0.0,0.451858651367245
202000000081912499,0.5104374168346681,fraud_type4,2,2,0.020763563295378432,0.5278211213612825
202100000007914149,0.0,fraud_type1,0,0,,
201000000004293286,0.0,fraud_type1,1,0,0.0,0.451858651367245
202000000130254539,0.0,fraud_type1,0,0,,
201000000003757482,0.0,fraud_type1,0,0,,
202000000085777087,0.0,fraud_type1,1,2,0.0014512167894619335,0.5274565227317362
202000000070766351,0.0,fraud_type1,0,0,,
202000000113918218,0.0,fraud_type1,1,3,0.0,0.48958437945846855
201000000003941697,0.0,fraud_type1,3,0,0.0,0.451858651367245
202000000093817995,0.0,fraud_type1,0,0,,
202000000074869764,0.0,fraud_type1,0,0,,
202000000076748127,0.0,fraud_type1,0,0,,
202000000123002315,0.5104337026333492,fraud_type4,0,1,0.0,0.451858651367245
202000000113526418,0.0,fraud_type1,0,0,,
202000000115982679,0.0,fraud_type1,0,0,,
202100000008312324,0.0,fraud_type1,0,2,0.0,0.451858651367245
202100000007414103,0.0,fraud_type1,0,0,,
202000000087850297,0.0,fraud_type1,1,1,0.0,0.48958437945846855
202100000007315087,0.0,fraud_type1,0,0,,
202000000122276857,0.0,fraud_type1,0,0,,
202000000097608174,0.0,fraud_type1,0,0,,
202000000116326522,0.0,fraud_type1,0,1,0.0,0.451858651367245
202000000079776451,0.0,fraud_type1,0,2,0.0,0.451858651367245
202000000130206713,0.0,fraud_type1,1,131,0.016075016744809108,0.4898886623015288
202000000120410627,0.4661181466488916,nonfraud_type3,1,3,0.0,0.48958437945846855
202100000008266871,0.0,fraud_type1,12,0,0.0,0.451858651367245
202000000044201575,0.0,fraud_type1,0,0,,
202100000006362174,0.494876211810052,nonfraud_type3,0,0,,
201000000004316490,0.0,fraud_type1,4,0,0.0,0.451858651367245
202000000089069907,0.0,fraud_type1,0,0,,
202000000041745665,0.0,fraud_type1,0,0,,
202000000068564797,0.0,fraud_type1,0,0,,
202100000007677125,0.0,fraud_type1,0,0,,
202100000006883224,0.0,fraud_type1,0,1,0.0,0.451858651367245
202000000038500649,0.0,fraud_type1,0,0,,
202000000082429559,0.0,fraud_type1,0,0,,
202000000008722879,0.0,fraud_type1,0,0,,
202000000003027234,0.0,fraud_type1,0,0,,
202000000129196029,0.0,fraud_type1,0,0,,
202100000007634820,0.0,fraud_type1,0,4,0.0,0.451858651367245
202000000117136129,0.0,fraud_type1,0,0,,
202000000125278226,0.461368688309663,nonfraud_type3,0,0,,
202000000035245949,0.0,fraud_type1,0,0,,
202000000048889770,0.0,fraud_type1,0,1,0.0,0.451858651367245
202100000007923763,0.0,fraud_type1,0,0,,
202000000102534459,0.0,fraud_type1,0,0,,
